REAL - Entrada,REAL - Saída,tpv_usina,cum_avg
2021-01-14,2021-01-14 15:30:00,4.324,3.2641581632653063
2021-01-14,2021-01-14 16:00:00,5.529999999999999,3.3348142857142857
2021-01-14,2021-01-14 16:30:00,4.373333333333333,3.472013392857143
2021-01-14,2021-01-14 17:00:00,4.914,3.5250322128851543
2021-01-14,2021-01-14 17:30:00,3.77375,3.602197089947089
2021-01-14,2021-01-14 18:00:00,2.64,3.61122619047619
2021-01-14,2021-01-14 18:30:00,8.875,3.5626648809523807
2021-01-14,2021-01-14 19:00:00,5.275,3.8156332199546483
2021-01-14,2021-01-14 19:30:00,8.333333333333334,3.8819680735930735
2021-01-14,2021-01-14 20:00:00,3.126666666666667,4.07550569358178
2021-01-14,2021-01-14 20:30:00,6.17,4.035970734126984
2021-01-14,2021-01-14 21:00:00,4.41,4.121331904761905
2021-01-14,2021-01-14 21:30:00,4.088333333333334,4.132434523809524
2021-01-14,2021-01-14 22:00:00,7.59,4.13080114638448
2021-01-14,2021-01-14 22:30:00,4.185,4.254343962585034
2021-01-14,2021-01-14 23:00:00,4.93,4.251952791461412
2021-01-14,2021-01-14 23:30:00,6.1275,4.274554365079365
2021-01-14,2021-01-15 00:30:00,12.879999999999999,4.334326804915515
2021-01-14,2021-01-15 01:00:00,3.59,4.6013790922619044
2021-01-14,2021-01-15 03:00:00,8.58,4.570731240981241
2021-01-14,2021-01-15 03:30:00,9.45,4.688650910364146
2021-01-15,2021-01-15 07:00:00,1.61,1.6099999999999999
2021-01-15,2021-01-15 07:30:00,1.56,1.6099999999999999
2021-01-15,2021-01-15 08:00:00,2.183333333333333,1.5850000000000002
2021-01-15,2021-01-15 08:30:00,2.4000000000000004,1.7844444444444445
2021-01-15,2021-01-15 09:00:00,2.99,1.9383333333333335
2021-01-15,2021-01-15 09:30:00,1.51,2.1486666666666667
2021-01-15,2021-01-15 10:00:00,2.73625,2.042222222222222
2021-01-15,2021-01-15 10:30:00,2.825,2.141369047619048
2021-01-15,2021-01-15 11:00:00,2.84,2.226822916666667
2021-01-15,2021-01-15 11:30:00,3.575,2.2949537037037038
2021-01-15,2021-01-15 12:00:00,3.9583333333333335,2.4229583333333333
2021-01-15,2021-01-15 12:30:00,3.8733333333333335,2.5625378787878788
2021-01-15,2021-01-15 13:00:00,3.4775,2.6717708333333334
2021-01-15,2021-01-15 13:30:00,3.8349999999999995,2.73375
2021-01-15,2021-01-15 14:00:00,4.18375,2.8124107142857144
2021-01-15,2021-01-15 14:30:00,4.23,2.9038333333333335
2021-01-15,2021-01-15 15:00:00,5.676666666666667,2.98671875
2021-01-15,2021-01-15 15:30:00,5.176666666666667,3.1449509803921565
2021-01-15,2021-01-15 16:00:00,4.569999999999999,3.2578240740740743
2021-01-15,2021-01-15 16:30:00,5.1725,3.326885964912281
2021-01-15,2021-01-15 17:00:00,4.455,3.419166666666667
2021-01-15,2021-01-15 17:30:00,4.4125,3.4684920634920635
2021-01-15,2021-01-15 18:00:00,4.213333333333334,3.511401515151515
2021-01-15,2021-01-15 18:30:00,12.27,3.5419202898550726
2021-01-15,2021-01-15 19:00:00,4.44,3.905590277777778
2021-01-15,2021-01-15 19:30:00,5.43375,3.9269666666666665
2021-01-15,2021-01-15 20:00:00,5.260000000000001,3.984919871794872
2021-01-15,2021-01-15 20:30:00,5.568,4.032145061728396
2021-01-15,2021-01-15 21:00:00,4.163333333333333,4.086997023809524
2021-01-15,2021-01-15 21:30:00,5.35,4.089629310344828
2021-01-15,2021-01-15 22:00:00,6.235,4.131641666666666
2021-01-15,2021-01-15 23:00:00,7.37,4.199491935483871
2021-01-15,2021-01-15 23:30:00,5.9025,4.2985703125
2021-01-15,2021-01-16 01:00:00,5.97,4.347174242424242
2021-01-15,2021-01-16 02:00:00,11.58,4.394904411764706
2021-01-15,2021-01-16 07:30:00,17.76,4.600192857142858
2021-01-16,2021-01-16 07:30:00,1.98,1.98
2021-01-16,2021-01-16 08:00:00,1.7999999999999998,1.98
2021-01-16,2021-01-16 08:30:00,1.2650000000000001,1.89
2021-01-16,2021-01-16 09:00:00,3.12,1.6816666666666664
2021-01-16,2021-01-16 09:30:00,1.785,2.04125
2021-01-16,2021-01-16 10:00:00,2.9074999999999998,1.9899999999999998
2021-01-16,2021-01-16 10:30:00,3.198333333333333,2.142916666666667
2021-01-16,2021-01-16 11:00:00,3.1075,2.293690476190476
2021-01-16,2021-01-16 11:30:00,3.626666666666667,2.3954166666666667
2021-01-16,2021-01-16 12:00:00,3.115,2.532222222222222
2021-01-16,2021-01-16 12:30:00,4.058571428571429,2.5904999999999996
2021-01-16,2021-01-16 13:00:00,3.4899999999999998,2.7239610389610394
2021-01-16,2021-01-16 13:30:00,3.8866666666666667,2.7877976190476184
2021-01-16,2021-01-16 14:00:00,3.955,2.8723260073260075
2021-01-16,2021-01-16 14:30:00,5.166666666666667,2.949659863945578
2021-01-16,2021-01-16 15:30:00,3.783333333333333,3.0974603174603175
2021-01-16,2021-01-16 16:00:00,5.08,3.140327380952381
2021-01-16,2021-01-16 16:30:00,5.615,3.254425770308123
2021-01-16,2021-01-16 17:00:00,5.1259999999999994,3.385568783068783
2021-01-16,2021-01-16 17:30:00,4.4350000000000005,3.477170426065163
2021-01-16,2021-01-16 18:00:00,4.7524999999999995,3.5250619047619045
2021-01-16,2021-01-16 18:30:00,3.24,3.5835113378684813
